Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (max),Uncertainty (min),NK,Uncertainty Type,Region,Notes
AD,Public/Commercial/Institutional,LPG,1392.98296,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,793.8547556,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,1492.647387,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,1978.516959,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,2350.731967,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Wood,1332.602937,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Gasoline,369.0015704,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Diesel oil,883.5982759,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, International",Turbo,0,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Diesel Oil,1306.667147,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Fuel Oil,22168.99226,TJ,2007,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Diesel oil,9984.258621,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Fuel Oil,28377.2743,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,4.107876222,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Fuel Oil,1619.442229,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,53565.63727,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,115.3313323,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,3535.432341,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,1192.927707,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,155.6972986,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,378.1693113,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,4306.034483,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,1084.114523,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,82.00908929,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,21337.9169,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,5534.689656,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,178.2645327,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,290.3363305,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,148.9757893,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,281.3275862,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,0,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,LPG,1523.025944,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,1164.564196,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,0,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,99.27623465,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,2026.796064,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Wood,1368.554455,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Gasoline,412.5483396,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Diesel oil,947.3275863,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, International",Turbo,0,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Diesel Oil,1383.336176,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Fuel Oil,20272.90324,TJ,2008,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Diesel oil,10173.72414,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Fuel Oil,29075.02886,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,4.097287612,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Fuel Oil,1615.267896,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,19986.91988,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,80.73193259,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,6296.550978,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,1282.026042,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,74.96536597,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,366.7096352,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,2325.258621,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,668.9217271,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,87.86688138,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,20822.23147,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,7228.396552,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,41.73653743,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,170.6745786,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,0,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,218.1724138,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,0,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,LPG,1546.457112,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,1164.564196,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,46.71822807,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,52.55800658,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,1804.199964,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Wood,1368.554455,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Gasoline,395.3588254,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Diesel oil,769.3448276,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, International",Turbo,0,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Diesel Oil,323.876327,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Fuel Oil,11917.45178,TJ,2009,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Diesel oil,9685.706897,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Fuel Oil,29075.02886,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,4.0892201,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Fuel Oil,1612.087452,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,16007.98892,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,51.89909952,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,2509.0165,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,787.0352922,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,28.83283307,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,333.4765745,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,1725.284483,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,317.1611637,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,70.29350511,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,19475.71953,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,7239.879311,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,124.2664137,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,162.5982345,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,0,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,195.2068966,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,92.26506581,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,LPG,1593.319449,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,1164.564196,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,29.19889255,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,35.03867105,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,1880.351262,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Wood,1368.554455,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Gasoline,360.9797971,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Diesel oil,688.9655173,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, International",Turbo,0,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Diesel Oil,964.3097418,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Fuel Oil,11353.51635,TJ,2010,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Diesel oil,9886.655173,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Fuel Oil,28388.80744,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,4.306034483,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Fuel Oil,1697.56188,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,21613.09167,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,28.83283307,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,3475.408023,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,1989.862814,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,28.83283307,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,253.144245,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,2250.62069,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,576.6566613,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,82.00908929,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,1.408014404,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,0,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,19103.28006,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,7446.568966,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,108.4678374,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,123.2878656,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,0,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,212.4310345,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,0,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,LPG,1663.612954,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,817.0240956,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,29.19889255,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,35.03867105,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,1962.360351,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Wood,1368.554455,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Gasoline,395.3588254,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Diesel oil,746.3793104,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, International",Turbo,10232.9736,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Diesel Oil,841.7124881,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Fuel Oil,8608.646962,TJ,2011,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Diesel oil,9450.310346,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Fuel Oil,25603.55576,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,0,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Fuel Oil,1846.858289,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,19698.59155,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,28.83283307,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,3421.386137,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,1831.465774,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,149.9307319,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,292.2217405,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,3054.413793,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,259.4954976,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,76.1512972,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,11.80897531,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,23.21888168,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,18415.69949,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,6074.379311,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,69.32189607,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,119.5682548,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,0,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,200.9482759,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,0,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,LPG,1745.622044,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,817.0240956,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,116.7955702,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,128.4751272,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,2056.085024,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Wood,1368.554455,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Gasoline,383.8991493,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Agriculture, Mobile",Diesel oil,700.4482759,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, International",Turbo,10340.35463,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Diesel Oil,836.1982464,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,"Shipping, International",Fuel Oil,7293.158484,TJ,2012,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Diesel oil,7599.289656,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Electricity Generation,Fuel Oil,25736.76345,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Diesel oil,0,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Petroleum Refining,Fuel Oil,1846.858289,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Mining/Bauxite,Fuel Oil,26588.48534,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Fuel Oil,110.718079,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Sugar,Bagasse,3755.121346,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Coal,2230.923309,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Cement,Fuel Oil,83.03855923,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Gasoline,425.1539833,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Mobile machinery",Diesel oil,1372.763793,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",Fuel Oil,828.0789657,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Industry, Other Stationary",LPG,72.05084274,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Avgas,7.68125417,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Aviation, Local",Turbo,29.71054299,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Gasoline,18118.89388,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Road transport,Diesel oil,7370.782759,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Diesel oil,28.72120694,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Shipping/National Navigation,Fuel Oil,50.66038565,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Gasoline,18.90846556,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,"Public/Commercial/Institutional, Mobile",Diesel oil,199.8,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Fuel Oil,0,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,LPG,1666.54185,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Charcoal,815.1949372,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Public/Commercial/Institutional,Kerosene,17.51933553,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,Kerosene,23.35911404,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
AD,Residential,LPG,1762.023861,TJ,2013,NA,2%,-2%,,Normal,Jamaica,
